ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Πληροφορικής και Τηλεπικοινωνιών;Λαμία;12.375
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Παιδαγωγικό Προσχολικής Εκπαίδευσης;Βόλος;12.325
ΣΤΡΑΤΙΩΤΙΚΗ ΣΧΟΛΗ ΕΥΕΛΠΙΔΩΝ (ΣΣΕ) Ευελπίδων (ΣΣΕ) - Όπλα Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);12.230
ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ Μαθηματικών;Ιωάννινα;12.150
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ (ΔΠΘ) Πληροφορικής;Καβάλα;12.135
ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ Παιδαγωγικό Δημοτικής Εκπαίδευσης;Ρόδος;12.125
ΓΕΩΠΟΝΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ Επιστήμης Φυτικής Παραγωγής;Αθήνα;12.120
ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΡΗΤΗΣ Παιδαγωγικό Προσχολικής Εκπαίδευσης;Ρέθυμνο;12.040
ΠΟΛΥΤΕΧΝΕΙΟ ΚΡΗΤΗΣ Μηχανικών Παραγωγής και Διοίκησης;Χανιά;12.030
ΣΧΟΛΗ ΜΟΝΙΜΩΝ ΥΠΑΞΙΩΜΑΤΙΚΩΝ ΑΕΡΟΠΟΡΙΑΣ (ΣΜΥΑ) Μονίμων Υπαξιωματικών Αεροπορίας (ΣΜΥΑ) - Κατεύθυνση Τεχνολογικής Υποστήριξης Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);11.985
ΓΕΩΠΟΝΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ Επιστήμης Ζωικής Παραγωγής;Αθήνα;11.980
ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ Παιδαγωγικό Νηπιαγωγών;Ιωάννινα;11.970
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΛΟΠΟΝΝΗΣΟΥ Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών;Πάτρα;11.923
ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΕΛΛΑΔΑΣ (ΔΙΠΑΕ) Μηχανικών Παραγωγής και Διοίκησης;Θεσσαλονίκη;11.900
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ Μηχανικών Βιομηχανικής Σχεδίασης και Παραγωγής;Αιγάλεω;11.832
"ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ Επιστημών Οίνο, Αμπέλου και Ποτών";Αιγάλεω;11.790
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΛΟΠΟΝΝΗΣΟΥ Μηχανολόγων Μηχανικών;Πάτρα;11.700
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Δασολογίας και Φυσικού Περιβάλλοντος;Θεσσαλονίκη;11.670
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ Φωτογραφίας και Οπτικοακουστικών Τεχνών;Αιγάλεω;11.640
ΣΧΟΛΗ ΝΑΥΤΙΚΩΝ ΔΟΚΙΜΩΝ (ΣΝΔ) Ναυτικων Δοκιμων (ΣΝΔ) Μηχανικοι Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);11.629
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Θεάτρου;Θεσσαλονίκη;11.625
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ Φυσικής;Πάτρα;11.520
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ (ΔΠΘ) Μηχανικών Παραγωγής και Διοίκησης;Ξάνθη;11.490
ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΕΛΛΑΔΑΣ (ΔΙΠΑΕ) Πολιτικών Μηχανικών;Σέρρες;11.477
ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΕΛΛΑΔΑΣ (ΔΙΠΑΕ) Αγωγής και Φροντίδας στην Πρώιμη Παιδική Ηλικία;Θεσσαλονίκη;11.475
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΛΟΠΟΝΝΗΣΟΥ Πληροφορικής και Τηλεπικοινωνιών;Τρίπολη;11.425
ΧΑΡΟΚΟΠΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ Γεωγραφίας;Αθήνα;11.425
ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ Μηχανικών Επιστήμης Υλικών;Ιωάννινα;11.400
ΕΛΛΗΝΙΚΟ ΜΕΣΟΓΕΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ (ΕΛΜΕΠΑ) Μηχανολόγων Μηχανικών;Ηράκλειο;11.395
ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ Αγωγής και Φροντίδας στην Πρώιμη Παιδική Ηλικία;Ιωάννινα;11.222
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ Μηχανικών Τοπογραφίας και Γεωπληροφορικής;Αιγάλεω;11.220
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ Παιδαγωγικό Νηπιαγωγών;Φλώρινα;11.200
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Μηχανικών Χωροταξίας και Ανάπτυξης;Θεσσαλονίκη;11.175
ΓΕΩΠΟΝΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ Αξιοποίησης Φυσικών Πόρων και Γεωργικής Μηχανικής;Αθήνα;11.120
ΣΧΟΛΗ ΜΟΝΙΜΩΝ ΥΠΑΞΙΩΜΑΤΙΚΩΝ ΝΑΥΤΙΚΟΥ (ΣΜΥΝ) Μονίμων Υπαξιωματικών Ναυτικού (ΣΜΥΝ) Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);11.080
ΣΧΟΛΗ ΝΑΥΤΙΚΩΝ ΔΟΚΙΜΩΝ (ΣΝΔ) Ναυτικών Δοκίμων (ΣΝΔ) Μάχιμοι Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);11.076
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ (ΔΠΘ) Επιστημών της Εκπαίδευσης στην Προσχολική Ηλικία;Αλεξ/πολη;11.050
"ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Γεωπονίας, Φυτικής Παραγωγής και Αγροτικού Περιβάλλοντος";Βόλος;10.970
ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ (ΕΚΠΑ) Ιστορίας και Φιλοσοφίας της Επιστήμης;Αθήνα;10.966
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΛΟΠΟΝΝΗΣΟΥ Επιστήμης και Τεχνολογίας Τροφίμων;Καλαμάτα;10.890
ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ (ΕΚΠΑ) Γεωλογίας και Γεωπεριβάλλοντος;Αθήνα;10.875
ΕΛΛΗΝΙΚΟ ΜΕΣΟΓΕΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ (ΕΛΜΕΠΑ) Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών;Ηράκλειο;10.830
ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΕΛΛΑΔΑΣ (ΔΙΠΑΕ) Γεωπονίας;Θεσσαλονίκη;10.800
ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ (ΕΚΠΑ) Ψηφιακών Τεχνών και Κινηματογράφου;Ψαχνά Εύβοιας;10.640
ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ Επιστημών της Προσχολικής Αγωγής και Εκπαιδευτικού Σχεδιασμού;Ρόδος;10.525
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΛΟΠΟΝΝΗΣΟΥ Πολιτικών Μηχανικών;Πάτρα;10.503
ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ Φυσικής;Ιωάννινα;10.502
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ Πληροφορικής;Καστοριά;10.500
ΑΝΩΤΑΤΗ ΣΧΟΛΗ ΠΑΙΔΑΓΩΓΙΚΗΣ & ΤΕΧΝΟΛΟΓΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΑΣΠΑΙΤΕ) Εκπαιδευτικών Ηλεκτρολόγων Μηχανικών και Εκπαιδευτικών Ηλεκτρονικών Μηχανικών - Εκπαιδευτικών Ηλεκτρονικών Μηχανικών;Αθήνα;10.430
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Επιστήμης Τροφίμων και Διατροφής;Καρδίτσα;10.425
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Ψηφιακών Συστημάτων;Λάρισα;10.400
ΑΝΩΤΑΤΗ ΣΧΟΛΗ ΠΑΙΔΑΓΩΓΙΚΗΣ & ΤΕΧΝΟΛΟΓΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΑΣΠΑΙΤΕ) Εκπαιδευτικών Πολιτικών Μηχανικών;Αθήνα;10.350
ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΕΛΛΑΔΑΣ (ΔΙΠΑΕ) Μηχανολόγων Μηχανικών;Σέρρες;10.340
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ Αλιείας και Υδατοκαλλιεργειών;Μεσολόγγι;10.302
ΣΧΟΛΗ ΜΟΝΙΜΩΝ ΥΠΑΞΙΩΜΑΤΙΚΩΝ ΣΤΡΑΤΟΥ ΞΗΡΑΣ (ΣΜΥ) Μονίμων Υπαξιωματικών Στρατού (ΣΜΥ) - Όπλα Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);10.290
"ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Μηχανικών Χωροταξίας, Πολεοδομίας και Περιφερειακής Ανάπτυξης";Βόλος;10.269
ΑΝΩΤΑΤΗ ΣΧΟΛΗ ΠΑΙΔΑΓΩΓΙΚΗΣ & ΤΕΧΝΟΛΟΓΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΑΣΠΑΙΤΕ) Εκπαιδευτικών Μηχανολόγων Μηχανικών;Αθήνα;10.255
ΑΝΩΤΑΤΗ ΣΧΟΛΗ ΠΑΙΔΑΓΩΓΙΚΗΣ & ΤΕΧΝΟΛΟΓΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ (ΑΣΠΑΙΤΕ) Εκπαιδευτικών Ηλεκτρολόγων Μηχανικών και Εκπαιδευτικών Ηλεκτρονικών Μηχανικών - Εκπαιδευτικών Ηλεκτρολόγων Μηχανικών;Αθήνα;10.250
ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ (ΕΚΠΑ) Αεροδιαστημικής Επιστήμης και Τεχνολογίας;Ψαχνά Εύβοιας;10.180
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ Αειφορικής Γεωργίας;Αγρίνιο;10.160
ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΕΛΛΑΔΑΣ (ΔΙΠΑΕ) Μηχανικών Τοπογραφίας και Γεωπληροφορικής;Σέρρες;10.150
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ Επιστήμης και Τεχνολογίας Τροφίμων;Αγρίνιο;10.120
ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΕΛΛΑΔΑΣ (ΔΙΠΑΕ) Μηχανικών Περιβάλλοντος;Θεσσαλονίκη;10.085
ΕΛΛΗΝΙΚΟ ΜΕΣΟΓΕΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ (ΕΛΜΕΠΑ) Γεωπονίας;Ηράκλειο;10.070
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ Μαθηματικών;Πάτρα;10.064
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Γεωπονίας - Αγροτεχνολογίας;Λάρισα;10.050
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ Επιστήμης των Υλικών;Πάτρα;10.027
"ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ (ΕΚΠΑ) Αγροτικής Ανάπτυξης, Αγροδιατροφής και Διαχείρισης Φυσικών Πόρων";Ψαχνά Εύβοιας;9.970
ΓΕΩΠΟΝΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ Δασολογίας και Διαχείρισης Φυσικού Περιβάλλοντος;Καρπενήσι;9.900
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Περιβάλλοντος;Λάρισα;9.845
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Γεωλογίας;Θεσσαλονίκη;9.825
ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ Μηχανικών Πληροφοριακών και Επικοινωνιακών Συστημάτων;Σάμος;9.800
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΛΟΠΟΝΝΗΣΟΥ Γεωπονίας;Καλαμάτα;9.768
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Φυσικής;Λαμία;9.750
ΕΛΛΗΝΙΚΟ ΜΕΣΟΓΕΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ (ΕΛΜΕΠΑ) Ηλεκτρονικών Μηχανικών;Χανιά;9.740
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ Μηχανικών Ορυκτών Πόρων;Κοζάνη;9.725
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ Μαθηματικών;Καστοριά;9.725
ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΡΗΤΗΣ Επιστήμης και Μηχανικής Υλικών;Ηράκλειο;9.640
ΙΟΝΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ Πληροφορικής;Κέρκυρα;9.630
ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ Πληροφορικής και Τηλεπικοινωνιών;Άρτα;9.625
"ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Γεωπονίας, Ιχθυολογίας και Υδάτινου Περιβάλλοντος";Βόλος;9.600
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Επιστήμης Ζωικής Παραγωγής;Λάρισα;9.600
ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ Επιστήμης Τροφίμων και Διατροφής;Λήμνος;9.600
ΙΟΝΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ Επιστήμης και Τεχνολογίας Τροφίμων;Αργοστόλι;9.583
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Συστημάτων Ενέργειας;Λάρισα;9.570
ΙΟΝΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ Τεχνών Ήχου και Εικόνας;Κέρκυρα;9.570
ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Μαθηματικών;Λαμία;9.530
ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΕΛΛΑΔΑΣ (ΔΙΠΑΕ) Διοίκησης Εφοδιαστικής Αλυσίδας;Κατερίνη;9.520
ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ Μηχανικών Σχεδίασης Προϊόντων και Συστημάτων;Σύρος;9.510
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ Συντήρησης Αρχαιοτήτων και Έργων Τέχνης Ειδικά μαθήματα: Ελεύθερο Σχέδιο;Αιγάλεω;9.450
ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΡΗΤΗΣ Μαθηματικών και Εφαρμοσμένων Μαθηματικών - Εφαρμοσμένων Μαθηματικών;Ηράκλειο;9.450
ΕΘΝΙΚΟ & ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ (ΕΚΠΑ) Τεχνολογιών Ψηφιακής Βιομηχανίας;Ψαχνά Εύβοιας;9.440
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΛΟΠΟΝΝΗΣΟΥ Ψηφιακών Συστημάτων;Σπάρτη;9.428
ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΡΗΤΗΣ Μαθηματικών και Εφαρμοσμένων Μαθηματικών - Μαθηματικών;Ηράκλειο;9.375
ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ Γεωπονίας;Άρτα;9.370
ΠΟΛΥΤΕΧΝΕΙΟ ΚΡΗΤΗΣ Μηχανικών Ορυκτών Πόρων;Χανιά;9.370
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ (ΔΠΘ) Αμπελουργίας και Οινολογίας;Δράμα;9.360
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ (ΔΠΘ) Φυσικής;Καβάλα;9.338
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ (ΔΠΘ) Μηχανικών Περιβάλλοντος;Ξάνθη;9.320
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ (ΔΠΘ) Φυσικού Περιβάλλοντος και Κλιματικής Ανθεκτικότητας;Δράμα;9.290
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ Γεωπονίας;Φλώρινα;9.290
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΛΟΠΟΝΝΗΣΟΥ Παραστατικών και Ψηφιακών Τεχνών;Ναύπλιο;9.250
ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ Ωκεανογραφίας και Θαλασσίων Βιοεπιστημών;Μυτιλήνη;9.235
ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ Μαθηματικών;Σάμος;9.210
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ Μηχανικών Σχεδίασης Προϊόντων και Συστημάτων;Κοζάνη;9.125
ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ Μηχανικών Οικονομίας και Διοίκησης;Χίος;9.100
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ (ΔΠΘ) Αγροτικής Ανάπτυξης;Ορεστιάδα;9.050
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ Γεωπονίας;Μεσολόγγι;9.040
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ Γεωλογίας;Πάτρα;9.020
"ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ Δασολογίας, Επιστημών Ξύλου και Σχεδιασμού";Καρδίτσα;9.005
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ (ΔΠΘ) Δασολογίας και Διαχείρισης Περιβάλλοντος και Φυσικών Πόρων;Ορεστιάδα;8.950
ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ Στατιστικής και Αναλογιστικών - Χρηματοοικονομικών Μαθηματικών;Σάμος;8.825
ΙΟΝΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ Περιβάλλοντος;Ζάκυνθος;8.755
ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ Περιβάλλοντος;Μυτιλήνη;8.650
ΕΛΛΗΝΙΚΟ ΜΕΣΟΓΕΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ (ΕΛΜΕΠΑ) Μουσικής Τεχνολογίας και Ακουστικής;Ρέθυμνο;8.350
ΑΚΑΔΗΜΙΕΣ ΕΜΠΟΡΙΚΟΥ ΝΑΥΤΙΚΟΥ (ΑΕΝ) Σχολή Μηχανικών Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);8.350
ΑΚΑΔΗΜΙΕΣ ΕΜΠΟΡΙΚΟΥ ΝΑΥΤΙΚΟΥ (ΑΕΝ) Σχολή Πλοιάρχων Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);8.325
ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΕΛΛΑΔΑΣ (ΔΙΠΑΕ) Δημιουργικού Σχεδιασμού και Ένδυσης;Κιλκίς;8.325
ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ Γεωγραφίας;Μυτιλήνη;7.870
ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ Στατιστικής;Γρεβενά;7.415
