ΣΧΟΛΗ ΜΟΝΙΜΩΝ ΥΠΑΞΙΩΜΑΤΙΚΩΝ ΑΕΡΟΠΟΡΙΑΣ (ΣΜΥΑ) Μονίμων Υπαξιωματικών Αεροπορίας (ΣΜΥΑ) - Κατεύθυνση Διοικητικής και Εφοδιαστικής Υποστήριξης Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);16.825
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Επιστήμης Φυσικής Αγωγής και Αθλητισμού Εξέταση σε αγωνίσματα;Θεσσαλονίκη;16.811
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ Βιολογίας;Πάτρα;16.766
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΙΡΑΙΑ Πληροφορικής;Πειραιάς;16.740
ΠΑΝΕΠΙΣΤΗΜΙΟ ΜΑΚΕΔΟΝΙΑΣ (ΠΑΜΑΚ) Εφαρμοσμένης Πληροφορικής - Επιστήμη και Τεχνολογία Υπολογιστών;Θεσσαλονίκη;16.735
ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΩΝ Μηχανολόγων και Αεροναυπηγών Μηχανικών;Πάτρα;16.700
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Χημείας;Θεσσαλονίκη;16.665
ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ (ΑΠΘ) Χημικών Μηχανικών;Θεσσαλονίκη;16.640
ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ (ΔΠΘ) Μοριακής Βιολογίας και Γενετικής;Αλεξ/πολη;16.570
ΣΧΟΛΗ ΙΚΑΡΩΝ (ΣΙ) Ικάρων (ΣΙ) Μηχανικοί (ΣΜΑ) Ισχύουν επιπλέον προϋποθέσεις;(μη προσδιορισμένη);16.525
